,Municipio,Temperatura_media,Latitude,Longitude
125,dom eliseu,25.599505469803688,-4.28055554,-47.56388888
128,camaratuba,26.707632600258734,-6.56194444,-35.13527777
129,bertioga,24.830474137931034,-23.84472221,-46.14333333
131,itaberaba,25.454497716894977,-12.52416666,-40.29972221
132,santa maria das barreiras,26.65222641509434,-8.72972221,-49.85638888
133,saquarema sampaio correia,22.87853647168492,-22.8711111,-42.60888888
134,canela,15.530842230130487,-29.36888888,-50.82722221
135,pium,26.71359170305677,-10.47694443,-49.62944443
137,araguaina,27.01,-7.10388888,-48.20111111
138,juiz de fora,18.865601096015524,-21.769965,-43.364329
140,conceicao das alagoas,23.30306566003203,-19.98586,-48.151574
141,diamantina,18.403309572301424,-18.231052,-43.648269
142,niteroi,24.517207112970713,-22.867389,-43.102056
143,itapetinga,25.90448746150462,-15.24472221,-40.22944443
144,goiania,23.63897971014493,-16.642841,-49.220222
146,ituiutaba,24.906450839328535,-18.95277777,-49.52499999
148,piata,19.264316913370543,-13.155681,-41.774125
149,vitoria da conquista,21.647343425348765,-14.88638888,-40.80138888
150,dores do indaia,22.284247648902824,-19.481935,-45.593932
151,s g da cachoeira,28.8904953145917,-0.125207,-67.061246
152,florianopolis,20.79668685022278,-27.60253,-48.620096
155,serafina correa,16.78883307018803,-28.70472222,-51.87083332
156,santo augusto,19.506011307257413,-27.854345,-53.791179
157,mocambinho,24.554921214889244,-15.085958,-44.016036
158,guaramiranga,21.50450281425891,-4.26138888,-38.9311111
160,sao vicente do sul,18.896472200022835,-29.70222222,-54.69444444
161,cidade gaucha,24.892729152308753,-23.359156,-52.931912
162,angra dos reis,23.338799283154124,-22.97555554,-44.30333333
163,sao paulo interlagos,18.98729016786571,-23.724501,-46.677501
164,caruaru,21.707035175879398,-8.36527777,-36.02833332
166,novo repartimento,27.882925538949873,-4.24388888,-49.93944444
167,rio grande,18.137346765384148,-32.07888888,-52.16777777
168,grajau,26.24931972789116,-5.81611111,-46.16222222
169,araguatins,26.117086834733893,-5.6436111,-48.11194444
170,dianopolis,24.67998267969813,-11.59444444,-46.84722221
171,bento goncalves,17.394449520328916,-29.164581,-51.534202
172,mineiros,22.40853395317948,-17.45472222,-52.60111111
173,janauba,25.534882583170255,-15.80277777,-43.29694444
174,uberaba,23.24459758158887,-19.71,-47.96194444
175,braganca,27.417389006342493,-1.04722221,-46.78583333
176,braganca paulista,19.869480260534363,-22.951944,-46.530556
178,almenara,25.249315856042312,-16.166773,-40.687756
179,manhuacu,19.600012439358128,-20.26333333,-42.18277777
180,rio de janeiro vila militar,23.486459641511587,-22.86138888,-43.41138888
181,jatai,22.836366754315765,-17.923622,-51.717467
182,paranoa coopa df ,21.618270017533604,-16.012222,-47.557417
183,bambui,21.04282819510783,-20.0311111,-46.00888888
184,valenca,21.313343276732446,-22.35805555,-43.69555555
185,sao raimundo nonato,29.989562841530056,-9.03333333,-42.70111111
186,obidos,24.70394910048267,-1.88083332,-55.51972221
187,ipanguacu,31.494501072961373,-5.53499999,-36.87222221
188,dom pedrito,20.750470640968178,-31.0025,-54.61805554
189,tres rios,22.006712852365027,-22.09833333,-43.20833333
190,palmeira dos indios,25.152614678899084,-9.42027777,-36.62027777
191,sao sebastiao,30.006666666666668,-23.81083333,-45.4025
192,euclides da cunha,24.347607718741738,-10.537233,-38.996605
193,planalto,22.919565217391302,-25.72194443,-53.74805555
194,garanhuns,21.00536997126437,-8.91083333,-36.49333333
196,formosa do rio preto,26.248509874326754,-11.05222222,-45.20083333
197,s j do rio claro,25.128585807750376,-13.45388888,-56.67722221
198,rio pardo,19.229965753424658,-29.87222221,-52.38194443
199,santa rita do pardo,23.650000000000002,-21.305889,-52.820375
200,camapua,27.56207104154124,-19.58749999,-54.02999999
201,ponta pora,22.13789216825471,-22.5525,-55.71638888
202,unai,23.483012034116136,-16.55416666,-46.88194443
203,tiangua,22.82987512007685,-3.73222221,-41.01194444
204,aracaju,26.86026990219141,-10.9525,-37.05444444
205,soledade,17.3309071351739,-28.859211,-52.542387
206,cruz das almas,27.017430703624733,-12.67555554,-39.08944444
207,maceio,25.481331354190456,-9.55111111,-35.77027777
208,belem,26.820137034026246,-1.411228,-48.439512
