,Municipio,Novos_casos,Populacao_estimada,Latitude,Longitude,Relacao_perc_pop_covid
1109,castro alves,1555,26369,-12.7617572,-39.4284444,5.8971
1110,cataguases,6588,75942,-21.387426,-42.6957219,8.675
1111,catalao,9412,113091,-18.1702546,-47.9447082,8.3225
1112,catanduva,9826,123114,-21.1331035,-48.9712817,7.9812
1113,catanduvas,2467,11106,-25.2043528,-53.154826,22.2132
1114,catarina,490,21041,-6.1340485,-39.8791754,2.3288
1115,catas altas,503,5465,-20.0748989,-43.4078304,9.204
1116,catas altas da noruega,109,3665,-20.690277,-43.4975,2.9741
1117,catende,756,43778,-8.6695284,-35.7251419,1.7269
1118,catigua,546,7905,-21.0491485,-49.0578923,6.907
1119,catingueira,301,4938,-7.120081,-37.60638,6.0956
1120,catolandia,184,3619,-12.315088,-44.8616434,5.0843
1121,catole do rocha,3832,30819,-6.340625,-37.746967,12.4339
1122,catu,4508,55222,-12.351274,-38.379108,8.1634
1123,catuipe,933,8631,-28.255356,-54.013215,10.8099
1124,catuji,232,6206,-17.3023659,-41.5166395,3.7383
1125,catunda,1072,10410,-4.6494224,-40.2002603,10.2978
1126,caturai,519,5132,-16.4473559,-49.4919149,10.113
1127,caturama,239,9303,-13.3309299,-42.2927623,2.5691
1128,caturite,507,4898,-7.4199652,-36.0207132,10.3512
1129,catuti,210,4944,-15.3597,-42.9628,4.2476
1130,caucaia,11106,368918,-3.7300563,-38.6593082,3.0104
1131,cavalcante,517,9740,-13.7928414,-47.4568521,5.308
1132,caxambu,1758,21566,-21.9755872,-44.9311403,8.1517
1133,caxambu do sul,478,3462,-27.1615046,-52.8796675,13.807
1134,caxias,8003,166159,-29.1685045,-51.1796385,4.8165
1135,caxias do sul,20082,523716,-29.1685045,-51.1796385,3.8345
1136,caxingo,30,5477,-3.4208396,-41.8925637,0.5477
1137,ceara mirim,2562,74268,-5.633588,-35.4248407,3.4497
1138,cedral,1056,9452,-20.9028433,-49.2699665,11.1722
1139,cedro,4523,25612,-6.6065382,-39.0599487,17.6597
1140,cedro de sao joao,525,5929,-10.2506778,-36.8816067,8.8548
1141,cedro do abaete,33,1150,-19.148333,-45.711389,2.8696
1142,celso ramos,316,2709,-27.6335797,-51.3368111,11.6648
1143,centenario,308,2966,-8.9586893,-47.3355181,10.3844
1144,centenario do sul,1077,10704,-22.821497,-51.5951456,10.0617
1145,central,314,17293,-11.1338739,-42.1095822,1.8158
1146,central de minas,583,7059,-18.7612885,-41.3071204,8.259
1147,central do maranhao,14,8806,-2.1927491,-44.828423,0.159
1148,centralina,1037,10343,-18.5843349,-49.1954739,10.0261
1149,centro do guilherme,157,13876,-2.4511749,-46.039127,1.1314
1150,centro novo do maranhao,524,22056,-2.1361032,-46.1248528,2.3758
1151,cerejeiras,2446,16088,-13.186987,-60.816836,15.2039
1152,ceres,2346,22407,-15.3103568,-49.6032054,10.4699
1153,cerqueira cesar,1879,20391,-23.0353135,-49.1650519,9.2148
1154,cerquilho,5351,50631,-23.1626556,-47.7433878,10.5686
1155,cerrito,431,6005,-31.8546304,-52.8151659,7.1774
1156,cerro azul,1166,17884,-24.8245108,-49.2615181,6.5198
1157,cerro branco,326,4720,-29.6359134,-52.949799,6.9068
1158,cerro cora,337,11182,-6.0412685,-36.3464694,3.0138
1159,cerro grande,266,2281,-27.6088939,-53.1663055,11.6616
1160,cerro grande do sul,906,12579,-30.5962963,-51.7517196,7.2025
1161,cerro largo,1662,14243,-28.147498,-54.7383681,11.6689
1162,cerro negro,154,3013,-27.7953331,-50.8741305,5.1112
1163,cesario lange,2079,18595,-23.226035,-47.954453,11.1804
1164,ceu azul,1364,11872,-25.1484973,-53.8494214,11.4892
1165,cezarina,864,8794,-16.9718289,-49.775814,9.8249
1166,cha de alegria,256,13641,-7.9959409,-35.2134636,1.8767
1167,cha grande,247,21929,-8.238271,-35.457148,1.1264
1168,cha preta,332,7311,-9.255605,-36.298334,4.5411
1169,chacara,206,3216,-21.6727567,-43.2206851,6.4055
1170,chale,470,5695,-20.0419748,-41.6914563,8.2529
1171,chapada,1233,9211,-28.0587829,-53.0657459,13.3862
1172,chapada da natividade,129,3330,-11.6119239,-47.7538517,3.8739
1173,chapada de areia,104,1415,-10.1417377,-49.1781853,7.3498
1174,chapada do norte,230,15334,-17.0880036,-42.5380774,1.4999
1175,chapada dos guimaraes,1547,22521,-15.464343,-55.749857,6.8691
1176,chapada gaucha,1445,14217,-15.2946253,-45.6284904,10.1639
1177,chapadao do ceu,1713,10797,-18.3951972,-52.6670783,15.8655
1178,chapadao do lageado,347,3025,-27.590507,-49.553879,11.4711
1179,chapadao do sul,3542,26499,-18.7949051,-52.6199512,13.3665
1180,chapadinha,3307,80705,-3.7416803,-43.3548006,4.0976
1181,chapeco,16251,227587,-27.0922364,-52.6166878,7.1406
1182,charqueada,1173,17539,-22.50958,-47.775468,6.688
1183,charqueadas,3701,41705,-29.955012,-51.6249195,8.8742
1184,charrua,145,3228,-27.9533747,-52.0312591,4.4919
1185,chaval,818,13112,-3.0339874,-41.2438452,6.2386
1186,chavantes,1217,12418,-23.0406405,-49.7071698,9.8003
1187,chaves,365,24175,-0.164154,-49.987006,1.5098
1188,chiador,247,2657,-22.002778,-43.057222,9.2962
1189,chiapetta,420,3684,-27.923162,-53.9419052,11.4007
1190,chopinzinho,1714,19083,-25.8566167,-52.5294107,8.9818
1191,choro,747,13608,-20.0535401,-44.9249925,5.4894
1192,chorozinho,1238,20286,-4.3010895,-38.4976923,6.1027
1193,chorrocho,343,11221,-8.9774059,-39.0993132,3.0568
1194,chui,487,6832,-33.6895237,-53.454704,7.1282
1195,chupinguaia,863,11755,-12.5528918,-60.9027819,7.3416
1196,chuvisca,389,5518,-30.7557984,-51.9784928,7.0497
1197,cianorte,7639,84980,-23.662036,-52.6103989,8.9892
1198,cicero dantas,1616,32636,-10.5932265,-38.3834411,4.9516
1199,cidade gaucha,1476,12939,-23.3816558,-52.9444098,11.4074
1200,cidade ocidental,3703,74370,-16.1000758,-47.9445014,4.9792
1201,cidelandia,186,14855,-5.174655,-47.7833531,1.2521
1202,cidreira,1898,16897,-30.1657063,-50.218331,11.2328
1203,cipo,774,17402,-11.0990534,-38.5153006,4.4478
1204,cipotanea,507,6811,-20.905278,-43.365556,7.4438
1205,ciriaco,610,4693,-28.3429139,-51.8763682,12.9981
1206,claraval,464,4873,-20.4019611,-47.2851534,9.5219
1207,claro dos pocoes,432,7478,-17.0758235,-44.2117357,5.7769
1208,claudia,1317,12338,-11.5057202,-54.8763166,10.6743
1209,claudio,3669,29093,-20.4448485,-44.7655217,12.6113
1210,clementina,769,8894,-21.5594631,-50.448624,8.6463
1211,clevelandia,1664,16344,-26.404065,-52.3513972,10.1811
1212,coaraci,884,16128,-14.6407979,-39.5496765,5.4812
1213,coari,1382,86713,-4.0885957,-63.1431166,1.5938
1214,cocal,776,27901,-3.4691882,-41.555851,2.7813
1215,cocal de telha,387,4908,-4.5553648,-41.9722429,7.8851
1216,cocal do sul,2219,16956,-28.6007346,-49.3248697,13.0868
1217,cocal dos alves,189,6180,-3.59964,-41.444741,3.0583
1218,cocalinho,635,5716,-14.390339,-51.00015,11.1092
1219,cocalzinho de goias,1894,20771,-15.7762854,-48.7730427,9.1185
1220,cocos,688,18835,-14.1811222,-44.5382117,3.6528
1221,codajas,2231,29691,-3.8413202,-62.0603444,7.5141
1222,codo,1788,123368,-4.455623,-43.892354,1.4493
1223,coelho neto,110,49804,-4.2535154,-43.0149321,0.2209
1224,coimbra,492,7631,-28.8288537,-54.46619275326584,6.4474
1225,coite do noia,372,10594,-9.633484,-36.584493,3.5114
1226,coivaras,195,4044,-5.0927005,-42.2052489,4.822
1227,colares,442,12175,-0.936423,-48.280254,3.6304
1228,colatina,10538,124283,-19.5346732,-40.6287836,8.479
1229,colider,3930,33855,-10.8094999,-55.4540386,11.6083
1230,colina,1316,18601,-20.711443,-48.53867,7.0749
1231,colinas,1665,41443,-29.3866023,-51.8697911,4.0176
1232,colinas do sul,410,3339,-14.1555935,-48.0729958,12.2791
1233,colinas do tocantins,3101,36271,-8.0612688,-48.4716768,8.5495
1234,colmeia,653,8078,-8.734098,-48.7510897,8.0837
1235,colniza,3574,41117,-9.4560637,-59.2197132,8.6923
1236,colombia,568,6223,-20.1774291,-48.6872822,9.1274
1237,colombo,16046,249277,-25.2925439,-49.2243472,6.437
1238,colonia do gurgueia,503,6545,-8.183697,-43.793999,7.6853
1239,colonia do piaui,343,7665,-7.2320268,-42.1777122,4.4749
1240,colonia leopoldina,98,21935,-8.9144649,-35.7220255,0.4468
1241,colorado,3160,3088,-28.525842,-52.99282,102.3316
1242,colorado do oeste,2079,15213,-13.117431,-60.545428,13.6659
1243,coluna,410,8810,-18.2327272,-42.8402912,4.6538
1244,combinado,800,4870,-12.8136581,-46.5461041,16.4271
1245,comendador gomes,249,3128,-19.695155,-49.0843408,7.9604
1246,comendador levy gasparian,647,8590,-22.028685,-43.204655,7.532
1247,comercinho,409,6624,-16.2965093,-41.7930954,6.1745
1248,comodoro,1631,21249,-13.6581107,-59.786883,7.6757
1249,conceicao,93,19030,-2.9308167,-58.5331639,0.4887
1250,conceicao da aparecida,701,10351,-21.094166,-46.204444,6.7723
1251,conceicao da barra,1723,31479,-18.5841421,-39.7371844,5.4735
1252,conceicao da barra de minas,211,3939,-21.128889,-44.472223,5.3567
1253,conceicao da feira,991,22933,-12.5013001,-39.0002166,4.3213
1254,conceicao das alagoas,3760,28782,-19.9194009,-48.3803414,13.0637
1255,conceicao das pedras,161,2814,-22.1596572,-45.4550521,5.7214
1256,conceicao de ipanema,328,4581,-19.928334,-41.693889,7.16
1257,conceicao de macabu,1026,23561,-22.0832,-41.8736,4.3547
1258,conceicao do almeida,1637,17087,-12.7772763,-39.1692214,9.5804
1259,conceicao do araguaia,3013,48115,-8.2696905,-49.2676864,6.2621
1260,conceicao do caninde,398,4811,-7.8774025,-41.5961417,8.2727
1261,conceicao do castelo,1154,12887,-20.3601311,-41.2470343,8.9548
1262,conceicao do coite,2930,67394,-11.5629384,-39.2839543,4.3476
1263,conceicao do jacuipe,2147,33631,-12.326831,-38.768433,6.384
1264,conceicao do lago acu,125,16559,-3.8410056,-44.8930565,0.7549
1265,conceicao do mato dentro,2386,17438,-19.037222,-43.425278,13.6828
1266,conceicao do para,286,5558,-19.752222,-44.896944,5.1457
1267,conceicao do rio verde,1165,13729,-21.881078,-45.0868526,8.4857
1268,conceicao do tocantins,401,4070,-12.220874,-47.295103,9.8526
1269,conceicao dos ouros,948,11852,-22.413056,-45.797777,7.9987
1270,conchal,2085,28491,-22.337512,-47.172927,7.3181
1271,conchas,1980,18138,-23.0133538,-48.0077595,10.9163
1272,concordia,13356,75683,-27.2312011,-52.0231024,17.6473
1273,concordia do para,1388,34236,-1.9924056,-47.9450474,4.0542
1274,condado,895,6662,-6.9092101,-37.5966375,13.4344
1275,conde,2834,26223,-11.8129758,-37.6138705,10.8073
1276,condeuba,1210,17113,-14.902227,-41.971829,7.0706
1277,condor,798,6766,-28.2058277,-53.4844696,11.7943
1278,conego marinho,130,7730,-15.2974056,-44.4140513,1.6818
1279,confins,380,6867,-19.6278749,-43.9912311,5.5337
1280,confresa,3165,32076,-10.643695,-51.569873,9.8672
1281,congo,210,4787,-7.8100331,-36.631420285449025,4.3869
1282,congonhal,1140,12209,-22.1532505,-46.0404698,9.3374
1283,congonhas,6187,55836,-20.5015168,-43.8564586,11.0807
1284,congonhas do norte,37,5047,-18.8100392,-43.6783242,0.7331
1285,congonhinhas,1106,8896,-23.5497241,-50.5520182,12.4326
1286,conquista,665,6997,-14.8567487,-40.8414804,9.5041
1287,conquista d oeste,371,4163,-14.5381171,-59.5443775,8.9118
1288,conselheiro lafaiete,13503,130584,-20.6596107,-43.785743,10.3405
1289,conselheiro mairinck,665,3891,-23.6229983,-50.1706779,17.0907
1290,conselheiro pena,1822,22975,-19.1720883,-41.471995,7.9304
1291,consolacao,83,1786,4.0430722,-60.9956472,4.6473
1292,constantina,1199,9903,-27.7331711,-52.9929561,12.1074
1293,contagem,19878,673849,-19.9132749,-44.0840953,2.9499
1294,contenda,2029,19082,-25.678811,-49.535044,10.6331
1295,contendas do sincora,195,4025,-13.7612283,-41.0421315,4.8447
1296,coqueiral,618,9099,-21.1898365,-45.4409829,6.792
1297,coqueiro baixo,165,1490,-29.181566,-52.097034,11.0738
1298,coqueiro seco,162,5882,-9.637147,-35.799377,2.7542
1299,coqueiros do sul,235,2267,-28.1184032,-52.7824375,10.3661
1300,coracao de jesus,602,26620,-16.6888187,-44.3577401,2.2615
1301,coracao de maria,1084,22391,-12.2484345,-38.7499274,4.8412
1302,corbelia,2423,17162,-24.7951117,-53.2961804,14.1184
1303,cordeiro,3059,22152,-22.0287681,-42.3607442,13.8091
1304,cordeiropolis,3997,25116,-22.4768324,-47.4550551,15.9142
1305,cordeiros,416,8667,-15.0397219,-41.9314228,4.7998
1306,cordilheira alta,466,4585,-26.9853947,-52.603549,10.1636
1307,cordisburgo,320,8903,-19.125834,-44.320278,3.5943
1308,cordislandia,223,3546,-21.792843,-45.7029983,6.2888
1309,coreau,1270,23340,-3.5519794,-40.6528409,5.4413
1310,coremas,1394,15438,-7.0175897,-37.9465062,9.0297
1311,corguinho,177,6158,-19.827429,-54.8322243,2.8743
1312,coribe,716,14108,-13.828471,-44.45727,5.0751
1313,corinto,1070,23607,-18.363056,-44.456111,4.5326
1314,cornelio procopio,6557,47840,-23.1825218,-50.6499263,13.7061
1315,coroaci,326,9897,-18.6194369,-42.2830239,3.2939
1316,coroados,603,6197,-21.3554634,-50.2853589,9.7305
1317,coroata,1339,65788,-4.1282283,-44.1360269,2.0353
1318,coromandel,1947,27958,-18.473889,-47.200278,6.964
1319,coronel barros,441,2521,-28.3826325,-54.0704116,17.4931
1320,coronel bicaco,693,7213,-27.7174002,-53.705821,9.6077
1321,coronel domingos soares,902,7538,-26.22394,-52.0314509,11.966
1322,coronel ezequiel,128,5501,-6.3853153,-36.2151622,2.3268
1323,coronel fabriciano,8691,110709,-19.5200067,-42.6282686,7.8503
1324,coronel freitas,1291,9900,-26.9058932,-52.7028055,13.0404
1325,coronel joao pessoa,476,4918,-6.2607263,-38.4425693,9.6787
1326,coronel joao sa,1101,15549,-10.2856387,-37.9259435,7.0808
1327,coronel jose dias,50,4688,-8.8252316,-42.4782948,1.0666
1328,coronel macedo,615,4591,-23.6304001,-49.313234,13.3958
1329,coronel martins,197,2560,-26.5124719,-52.6681763,7.6953
1330,coronel murta,385,9209,-16.6165034,-42.1848073,4.1807
1331,coronel pacheco,132,3095,-21.5878865,-43.2615975,4.2649
1332,coronel pilar,121,1602,-29.27318,-51.6852347,7.5531
1333,coronel sapucaia,792,15449,-23.27186,-55.5288174,5.1265
1334,coronel vivida,2596,20430,-25.9803771,-52.5654277,12.7068
1335,coronel xavier chaves,242,3448,-21.0234482,-44.2233108,7.0186
1336,corrego danta,177,3168,-19.823889,-45.904167,5.5871
1337,corrego do bom jesus,371,3685,-22.630556,-46.019723,10.0678
1338,corrego do ouro,284,2254,-16.2960629,-50.5512216,12.5998
1339,corrego fundo,676,6425,-20.4490405,-45.5558238,10.5214
1340,corrego novo,299,2688,-19.832223,-42.395833,11.1235
1341,correia pinto,1414,12315,-27.587688,-50.361448,11.4819
1342,corrente,998,26771,-10.4401356,-45.1627472,3.7279
1343,correntes,242,18327,-9.1295585,-36.3287438,1.3205
1344,correntina,2666,32243,-13.344157,-44.6345066,8.2685
1345,cortes,49,12543,-8.4724921,-35.5431197,0.3907
1346,corumba,9376,112669,-19.0016365,-57.6534316,8.3217
1347,corumba de goias,596,11223,-15.9268355,-48.8074659,5.3105
1348,corumbaiba,917,10012,-18.1348982,-48.564223,9.159
1349,corumbatai,280,4072,-22.2210521,-47.6249638,6.8762
1350,corumbatai do sul,362,3038,-24.100956,-52.11766,11.9157
1351,corumbiara,846,7052,-12.9977668,-60.9455009,11.9966
1352,corupa,1211,16300,-26.4267153,-49.24747,7.4294
1353,coruripe,2225,57647,-10.1249963,-36.1760623,3.8597
1354,cosmopolis,5776,74662,-22.6437398,-47.1972086,7.7362
1355,cosmorama,446,7289,-20.4801328,-49.7782265,6.1188
1356,costa marques,1865,19255,-12.4367165,-64.2279765,9.6858
1357,costa rica,3105,21456,-18.5333859,-53.1394286,14.4715
1358,cotegipe,670,13756,-12.0315387,-44.260401,4.8706
1359,cotia,11041,257882,-23.603889,-46.918889,4.2814
1360,cotipora,577,3824,-28.9950719,-51.696359,15.0889
1361,cotriguacu,1223,20717,-9.9034364,-58.5658915,5.9034
1362,couto de magalhaes de minas,143,4436,-18.073056,-43.4718628,3.2236
1363,couto magalhaes,477,5690,-8.360583,-49.1773955,8.3831
1364,coxilha,254,2731,-28.1255645,-52.2976394,9.3006
1365,coxim,3287,33547,-18.504915,-54.7450251,9.7982
1366,coxixola,45,1948,-7.6272915,-36.606013,2.3101
1367,craibas,618,24396,-9.6168038,-36.7684669,2.5332
1368,crateus,6720,75241,-5.1782451,-40.6696545,8.9313
1369,crato,9427,133913,-7.2369112,-39.4149236,7.0396
1370,cravinhos,1724,35858,-21.340278,-47.729444,4.8079
1371,cravolandia,401,5352,-13.3576247,-39.8153954,7.4925
1372,criciuma,18488,219393,-28.6789941,-49.3695627,8.4269
1373,crisolita,200,6814,-17.2391664,-40.9132444,2.9351
1374,crisopolis,234,21219,-11.5105813,-38.1506278,1.1028
1375,crissiumal,1080,13269,-27.4982242,-54.1024643,8.1393
1376,cristais,1392,13060,-20.875834,-45.518611,10.6585
1377,cristais paulista,1164,8803,-20.403569,-47.420915,13.2228
1378,cristal,724,8121,-31.00166,-52.0491777,8.9152
1379,cristal do sul,222,2840,-27.454386,-53.2482974,7.8169
1380,cristalandia,419,7268,-10.59848,-49.194202,5.765
1381,cristalandia do piaui,35,8350,-10.6525894,-45.1847405,0.4192
1382,cristalia,378,5992,-16.7179933,-42.8648107,6.3084
1383,cristalina,3842,61385,-16.7680599,-47.6133427,6.2589
1384,cristiano otoni,423,5161,-20.8324096,-43.8053057,8.1961
1385,cristianopolis,203,2962,-17.2010889,-48.7060055,6.8535
1386,cristina,559,10211,-22.212222,-45.264167,5.4745
1387,cristinapolis,204,18181,-11.4757019,-37.7555212,1.1221
1388,cristino castro,739,10464,-8.8163934,-44.2211062,7.0623
1389,cristopolis,660,13981,-12.2349301,-44.4160811,4.7207
1390,crixas,1913,17136,-14.5424536,-49.9694813,11.1636
1391,crixas do tocantins,115,1749,-11.1039404,-48.918827,6.5752
1392,croata,1060,18201,-6.0545671,-38.873763,5.8239
1393,crominia,211,3458,-17.2891983,-49.3749654,6.1018
1394,crucilandia,411,5072,-20.3985647,-44.3429275,8.1033
1395,cruz,2703,25121,-2.918128,-40.175981,10.7599
1396,cruz alta,6690,59561,-28.645056,-53.6058047,11.2322
1397,cruz das almas,4048,63923,-12.6722649,-39.1053665,6.3326
1398,cruz do espirito santo,523,17599,-7.139022,-35.085721,2.9718
1399,cruz machado,1278,18772,-26.0184626,-51.3503171,6.808
1400,cruzalia,169,2021,-22.7434438,-50.7911037,8.3622
1401,cruzaltense,136,1765,-27.667414,-52.6487833,7.7054
1402,cruzeiro,5657,82895,-22.5783685,-44.9642044,6.8243
1403,cruzeiro da fortaleza,378,3651,-18.9461873,-46.6738005,10.3533
1404,cruzeiro do iguacu,350,4229,-25.6142278,-53.1299075,8.2762
1405,cruzeiro do oeste,2297,20962,-23.7839582,-53.0709425,10.9579
1406,cruzeiro do sul,5162,89760,-29.5139742,-51.9917068,5.7509
1407,cruzeta,510,7968,-6.4113343,-36.7872964,6.4006
1408,cruzilia,1320,15529,-21.838333,-44.808056,8.5002
1409,cruzmaltina,299,2892,-23.9930826,-51.4435583,10.3389
1410,cubatao,5560,132521,-23.8857982,-46.4241869,4.1956
1411,cubati,507,7866,-6.8647974,-36.3525993,6.4455
1412,cuiaba,5336,623614,-15.5986686,-56.0991301,0.8557
1413,cuite,1304,20331,-6.4855072,-36.1478606,6.4139
1414,cuite de mamanguape,131,6360,-6.912922,-35.250219,2.0597
1415,cuitegi,562,6748,-6.8962776,-35.5228851,8.3284
1416,cujubim,1968,27131,-9.3687919,-62.5832107,7.2537
1417,cumari,229,2820,-18.2644369,-48.1511341,8.1206
1418,cumaru,445,9494,-8.0065285,-35.6991651,4.6872
1419,cumaru do norte,542,14044,-7.8122669,-50.7677675,3.8593
1420,cumbe,189,4008,-10.3552462,-37.1828788,4.7156
1421,cunha,728,21373,-23.07753,-44.9567436,3.4062
1422,cunha pora,1040,11150,-26.8927163,-53.1716516,9.3274
1423,cunhatai,178,1972,-26.9735014,-53.0914014,9.0264
1424,cuparaque,421,5026,-18.9697,-41.0986,8.3764
1425,cupira,1455,24237,-8.6053148,-35.9530366,6.0032
1426,curaca,871,35065,-8.9925655,-39.9053169,2.484
1427,curimata,905,11461,-10.0349005,-44.3033114,7.8963
1428,curionopolis,959,17764,-6.0990443,-49.6059039,5.3986
1429,curitiba,9333,1963726,-25.4295963,-49.2712724,0.4753
1430,curitibanos,4539,40037,-27.2900659,-50.5779683,11.337
1431,curiuva,1139,15289,-24.0383013,-50.455484,7.4498
1432,currais,207,4982,-9.0146796,-44.3999284,4.155
1433,currais novos,2295,45022,-6.2626676,-36.5173039,5.0975
1434,curral de cima,420,5209,-6.7174163,-35.266704,8.063
1435,curral de dentro,517,7867,-15.9332656,-41.8568896,6.5718
1436,curral novo do piaui,205,5390,-7.8316503,-40.9006904,3.8033
1437,curral velho,415,2508,-7.5376473,-38.1979125,16.547
1438,curralinho,116,35530,-1.8137876,-49.7980165,0.3265
1439,curralinhos,310,4475,-5.6190404,-42.8280018,6.9274
1440,curua,1089,14776,-2.9862556,-58.5022222,7.3701
1441,curuca,477,41093,-2.5228933,-61.0605627,1.1608
1442,cururupu,1504,32559,-1.824255,-44.872996,4.6193
1443,curvelandia,553,5267,-15.6108629,-57.9188924,10.4993
1444,curvelo,3711,81085,-18.7571926,-44.4305993,4.5767
1445,custodia,743,37633,-8.0860251,-37.6400307,1.9743
1446,cutias,133,6217,0.9708625,-50.8000608,2.1393
1447,damianopolis,206,3302,-14.5603809,-46.1780241,6.2386
1448,damiao,388,5409,-19.9571411,-43.7817764,7.1732
1449,damolandia,216,2944,-16.2548322,-49.3675277,7.337
1450,darcinopolis,318,6250,-6.7085964,-47.7524283,5.088
1451,dario meira,389,10347,-14.4332181,-39.9028712,3.7595
1452,datas,524,5431,-18.4459187,-43.6584287,9.6483
1453,david canabarro,604,4732,-28.3878667,-51.8472645,12.7642
1454,davinopolis,488,2094,-18.1536888,-47.5624052,23.3047
1455,delfim moreira,415,8007,-22.5086783,-45.2792398,5.183
1456,delfinopolis,741,7146,-20.344749,-46.8546425,10.3694
1457,delmiro gouveia,2928,52501,-9.3841161,-37.997756,5.577
1458,delta,1081,10994,-19.9769,-47.7711,9.8326
1459,demerval lobao,2041,13862,-5.3640643,-42.673993,14.7237
1460,denise,461,9626,-14.7292165,-57.0482981,4.7891
1461,deodapolis,1637,13043,-22.276272,-54.168163,12.5508
1462,deputado irapuan pinheiro,617,9698,-5.9173532,-39.2672104,6.3621
1463,derrubadas,274,2718,-27.2657279,-53.8618488,10.0809
1464,descalvado,3399,34097,-21.87971115,-47.65074268154024,9.9686
1465,descanso,936,8136,-26.8246854,-53.5017586,11.5044
1466,descoberto,90,5044,-21.459444,-42.967223,1.7843
1467,desterro,589,8332,-7.2889695,-37.0880761,7.0691
1468,desterro de entre rios,381,7266,-20.66,-44.332223,5.2436
1469,desterro do melo,147,2867,-21.1460033,-43.518329,5.1273
1470,dezesseis de novembro,170,2331,-28.2248993,-55.0480474,7.293
1471,diadema,15117,429550,-23.6866428,-46.6246935,3.5193
1472,diamante,486,6506,-7.4261827,-38.2646879,7.47
1473,diamante d oeste,491,5279,-24.9446989,-54.1028594,9.301
1474,diamante do norte,317,4975,-22.6565442,-52.8589113,6.3719
1475,diamante do sul,453,3409,-25.0436147,-52.6800923,13.2884
1476,diamantina,4884,47924,-18.2440862,-43.6006487,10.1911
1477,diamantino,2130,22311,-14.4036262,-56.4364488,9.5469
1478,dianopolis,1624,22704,-11.624008,-46.819787,7.1529
1479,dias d avila,3949,83705,-12.6107233,-38.3028518,4.7178
1480,dilermando de aguiar,166,2991,-29.7049966,-54.2078988,5.55
1481,diogo de vasconcelos,149,3779,-20.4868723,-43.1984645,3.9428
1482,dionisio,146,7493,-19.841944,-42.776945,1.9485
1483,dionisio cerqueira,1916,15592,-26.2604681,-53.6346379,12.2884
1484,diorama,192,2477,-16.2359735,-51.2578729,7.7513
1485,dirce reis,168,1805,-20.4664067,-50.606276,9.3075
1486,dirceu arcoverde,42,7046,-9.3413101,-42.4362055,0.5961
1487,divina pastora,418,5290,-10.6783231,-37.1482727,7.9017
1488,divinesia,318,3430,-20.990277,-43.003889,9.2711
1489,divino,1591,20020,-20.6151497,-42.1474733,7.9471
1490,divino das laranjeiras,198,4969,-18.7782581,-41.4797376,3.9847
1491,divino de sao lourenco,232,4236,-20.6224575,-41.6853124,5.4769
1492,divinolandia,1195,11027,-21.6604584,-46.7371151,10.837
1493,divinolandia de minas,391,7655,-18.8021453,-42.6153788,5.1078
1494,divinopolis,16914,242505,-20.1597921,-44.8739341,6.9747
1495,divinopolis de goias,385,4701,-13.2905914,-46.3950744,8.1897
1496,divinopolis do tocantins,569,6986,-9.8015722,-49.2143531,8.1449
1497,divisa alegre,464,6946,-15.7207751,-41.3442809,6.6801
1498,divisa nova,437,6039,-21.5126801,-46.1926626,7.2363
1499,divisopolis,359,11396,-15.7216545,-41.0032019,3.1502
1500,dobrada,422,9088,-21.5180904,-48.3938897,4.6435
1501,dois corregos,1389,27704,-22.3697554,-48.3845315,5.0137
1502,dois irmaos,3814,33547,-29.58356,-51.089776,11.3691
1503,dois irmaos das missoes,190,1992,-27.6598825,-53.5330891,9.5382
1504,dois irmaos do buriti,432,11547,-20.6906107,-55.2760274,3.7412
1505,dois irmaos do tocantins,712,7173,-9.2539897,-49.0665558,9.9261
1506,dois lajeados,387,3410,-28.984916,-51.8366385,11.349
1507,dois riachos,341,11059,-9.384645,-37.096502,3.0835
1508,dois vizinhos,4196,41424,-25.7464681,-53.0554369,10.1294
1509,dolcinopolis,170,2108,-20.1230736,-50.513261,8.0645
1510,dom aquino,571,8087,-15.809899,-54.922298,7.0607
1511,dom basilio,663,12281,-13.7589818,-41.7715676,5.3986
1512,dom bosco,281,3635,-16.6516044,-46.2677917,7.7304
1513,dom cavati,536,5025,-19.3744152,-42.1067301,10.6667
1514,dom eliseu,1223,61206,-4.2928111,-47.5559083,1.9982
1515,dom expedito lopes,482,6940,-6.9644926,-41.648155,6.9452
1516,dom feliciano,912,15556,-30.70214,-52.1080845,5.8627
1517,dom inocencio,203,9574,-9.0009167,-41.974038,2.1203
1518,dom joaquim,539,4436,-18.967137,-43.2552141,12.1506
1519,dom macedo costa,124,4072,-12.907806,-39.1905875,3.0452
1520,dom pedrito,4011,38222,-30.983755,-54.6746483,10.494
1521,dom pedro,1029,23393,-5.0398278,-44.4385724,4.3988
1522,dom pedro de alcantara,346,2520,-29.3698329,-49.8479971,13.7302
1523,dom silverio,375,5227,-20.1631352,-42.9666824,7.1743
1524,dom vicoso,169,2992,-22.2534164,-45.1603324,5.6484
1525,domingos martins,3086,34120,-20.3646483,-40.6585797,9.0445
1526,domingos mourao,172,4352,-4.2544732,-41.2722903,3.9522
1527,dona emma,312,4224,-26.9849398,-49.7265136,7.3864
1528,dona euzebia,836,6664,-21.316667,-42.810556,12.545
1529,dona francisca,112,2958,-29.623063,-53.3560585,3.7863
1530,dona ines,602,10375,-6.6032239,-35.627146,5.8024
