,Municipio,Novos_casos,Populacao_estimada,Latitude,Longitude,Relacao_perc_pop_covid
774,cabedelo,5951,69773,-6.97324,-34.8351609,8.5291
775,cabixi,758,5067,-13.4956065,-60.5424442,14.9595
776,cabo de santo agostinho,7608,210796,-8.2838945,-35.0320984,3.6092
777,cabo frio,11507,234077,-22.8804369,-42.0189227,4.9159
778,cabo verde,745,14074,-21.4743338,-46.3964995,5.2934
779,cabralia paulista,336,4222,-22.4562909,-49.3385645,7.9583
780,cabreuva,3282,51130,-23.3076663,-47.1324726,6.4189
781,cabrobo,1953,34778,-8.5083701,-39.3106961,5.6156
782,cacador,5048,80017,-26.7737784,-51.0134844,6.3087
783,cacapava,6935,95752,-23.099204,-45.707645,7.2427
784,cacapava do sul,3184,33476,-30.5113286,-53.4916761,9.5113
785,cacaulandia,956,6307,-10.3380043,-62.9007231,15.1578
786,cacequi,771,12291,-29.8838059,-54.8273443,6.2729
787,caceres,8077,95339,-16.0644315,-57.6879744,8.4719
788,cachoeira,1237,33659,-30.0482234,-52.8901686,3.6751
789,cachoeira alta,1164,12843,-18.7618269,-50.9432431,9.0633
790,cachoeira da prata,106,3580,-19.524723,-44.453056,2.9609
791,cachoeira de goias,111,1336,-16.6688414,-50.6435997,8.3084
792,cachoeira de minas,868,11609,-22.3554043,-45.7796324,7.477
793,cachoeira de pajeu,254,9470,-15.965833,-41.496666,2.6822
794,cachoeira do arari,280,24355,-1.0143572,-48.9621089,1.1497
795,cachoeira do piria,589,35307,-1.7599443,-46.5446954,1.6682
796,cachoeira do sul,9936,81552,-30.0482234,-52.8901686,12.1836
